,Year,LocationAbbr,Location,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
1122,2012,GU,Guam,"HRSA, UDS",Oral Health,Oral health services at Federally Qualified Health Centers,%,Crude Prevalence,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,ORH,ORH3_0,CRDPREV,OVERALL,OVR
1134,2018,PR,Puerto Rico,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,43.3,,,39.3,47.3,Race/Ethnicity,Hispanic,POINT (-66.590149 18.220833),72,ALC,ALC1_2,CRDPREV,RACE,HIS
1604,2011,GU,Guam,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Crude Prevalence,4.4,,,3.0,6.5,Gender,Female,POINT (144.793731 13.444304),66,ALC,ALC5_1,CRDPREV,GENDER,GENF
1605,2013,GU,Guam,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Crude Prevalence,15.8,,,12.8,19.4,Gender,Male,POINT (144.793731 13.444304),66,ART,ART1_1,CRDPREV,GENDER,GENM
1610,2014,GU,Guam,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,2.9,,,1.7,4.7,Gender,Male,POINT (144.793731 13.444304),66,AST,AST1_1,CRDPREV,GENDER,GENM
1638,2019,GU,Guam,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Crude Prevalence,27.2,,,22.9,32.0,Gender,Male,POINT (144.793731 13.444304),66,TOB,TOB1_2,CRDPREV,GENDER,GENM
1985,2017,PR,Puerto Rico,PRAMS,Tobacco,Cigarette smoking before pregnancy,%,Crude Prevalence,5.9,,,4.3,8.0,Overall,Overall,POINT (-66.590149 18.220833),72,TOB,TOB1_4,CRDPREV,OVERALL,OVR
2374,2019,PR,Puerto Rico,ACS 1-Year Estimates,Overarching Conditions,Poverty,%,Crude Prevalence,45.5,,,44.6,46.4,Gender,Female,POINT (-66.590149 18.220833),72,OVC,OVC3_1,CRDPREV,GENDER,GENF
2385,2019,PR,Puerto Rico,YRBSS,Tobacco,Current smokeless tobacco use among youth,%,Crude Prevalence,0.9,,,0.5,1.7,Gender,Female,POINT (-66.590149 18.220833),72,TOB,TOB2_1,CRDPREV,GENDER,GENF
58313,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,%,Crude Prevalence,59.2,,,52.7,65.3,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW21_0,CRDPREV,RACE,ASN
58440,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,%,Crude Prevalence,8.4,,,5.5,12.6,Race/Ethnicity,"Asian, non-Hispanic",POINT (144.793731 13.444304),66,NPAW,NPAW12_2,CRDPREV,RACE,ASN
58459,2017,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,%,Crude Prevalence,19.3,,,14.6,25.1,Gender,Female,POINT (144.793731 13.444304),66,NPAW,NPAW12_2,CRDPREV,GENDER,GENF
58600,2014,GU,Guam,CDC School Health Profiles,"Nutrition, Physical Activity, and Weight Status",Secondary schools that allow community-sponsored use of physical activity facilities by youth outside of normal school hours,%,Percent,75.0,,,75.0,75.0,Overall,Overall,POINT (144.793731 13.444304),66,NPAW,NPAW13_1,PRCT,OVERALL,OVR
58852,2015,GU,Guam,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,25.3,,,21.8,29.2,Overall,Overall,POINT (144.793731 13.444304),66,ALC,ALC1_1,CRDPREV,OVERALL,OVR
58930,2019,GU,Guam,ANRF,Tobacco,"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars",%,Percent,0.0,,,,,Overall,Overall,POINT (144.793731 13.444304),66,TOB,TOB6_0,PRCT,OVERALL,OVR
59068,2017,GU,Guam,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,7.7,,,5.4,11.0,Gender,Female,POINT (144.793731 13.444304),66,ALC,ALC2_1,CRDPREV,GENDER,GENF
59080,2013,GU,Guam,YRBSS,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,Crude Prevalence,23.0,,,19.2,27.3,Gender,Male,POINT (144.793731 13.444304),66,NPAW,NPAW1_2,CRDPREV,GENDER,GENM
